hrmin,time,s1,s2,s3,s6,s8
801,109,318.086,59.7623,325.688,64.4136,304.273
801,110,318.086,59.7623,325.688,64.4136,303.881
801,111,317.614,59.7623,325.688,64.4136,303.488
801,112,318.086,59.7623,325.688,64.4136,303.097
801,113,317.614,59.7623,325.688,64.4136,302.704
801,114,317.142,59.7623,325.688,64.4136,302.704
801,115,317.142,59.7623,324.908,64.4136,301.92
801,116,316.198,59.353,324.908,64.7775,301.92
801,117,315.253,59.353,324.908,64.7775,301.92
801,118,314.781,59.353,324.128,65.1414,301.92
801,119,314.309,59.353,324.128,64.7775,301.136
802,120,314.781,59.353,323.738,65.1414,301.136
802,121,313.837,59.353,323.738,65.1414,301.136
802,122,312.893,58.9436,324.128,65.1414,300.352
802,123,312.421,58.9436,323.348,65.1414,300.352
802,124,311.477,58.9436,323.348,65.1414,300.352
802,125,311.477,58.9436,323.348,65.1414,299.568
802,126,311.477,58.9436,323.348,65.1414,299.568
802,127,310.533,58.9436,323.348,65.1414,299.175
802,128,310.533,58.9436,323.348,65.1414,298.783
802,129,310.061,58.9436,322.958,65.1414,298.783
802,130,309.589,58.5343,322.568,65.1414,298.783
802,131,309.589,58.5343,322.568,65.1414,297.999
802,132,309.589,58.5343,322.178,65.1414,297.999
802,133,309.117,58.5343,321.788,65.1414,297.607
802,134,308.645,58.5343,321.398,65.1414,297.607
802,135,308.645,58.5343,321.008,65.1414,297.215
802,136,308.645,58.125,320.228,65.1414,296.823
802,137,308.645,58.125,320.228,65.1414,296.823
802,138,307.702,58.125,319.838,65.1414,296.431
802,139,307.702,58.125,319.447,65.1414,296.431
802,140,307.702,58.125,319.447,65.1414,296.431
802,141,307.23,58.125,319.447,65.1414,296.823
802,142,306.758,58.125,319.447,65.1414,297.215
802,143,306.758,58.125,319.447,65.1414,297.999
802,144,306.758,58.125,319.447,65.1414,298.783
802,145,306.758,58.125,319.838,65.1414,299.568
802,146,305.814,58.125,320.228,65.5053,299.568
802,147,306.758,58.125,321.008,65.5053,300.744
802,148,306.286,58.125,320.228,65.8693,301.92
802,149,305.814,58.125,321.004,65.8686,303.097
802,150,305.814,58.125,321.394,65.8686,303.488
802,151,305.814,58.125,321.784,65.8686,304.273
802,152,305.814,58.125,321.784,65.8686,305.841
802,153,305.814,58.1242,321.784,65.8686,306.625
802,154,305.814,58.1242,321.784,65.8686,307.802
802,155,305.814,58.1242,321.784,65.8686,308.978
802,156,306.758,58.5335,321.784,65.8686,309.37
802,157,306.758,58.5335,321.784,65.8686,310.154
802,158,307.702,58.5335,321.784,65.8686,310.546
802,159,308.645,58.5335,321.784,65.8686,310.546
802,160,309.589,58.5335,322.564,66.2325,310.546
802,161,310.533,58.9428,322.564,66.5964,309.762
802,162,311.477,58.9428,322.564,66.5964,309.762
802,163,311.949,58.9428,323.345,66.5964,309.37
802,164,312.893,58.9428,323.345,66.5964,308.586
802,165,313.365,58.9428,323.735,66.5964,307.406
802,166,315.253,58.9428,324.125,66.5964,307.014
802,167,315.724,58.9428,324.125,66.5964,306.23
802,168,317.14,58.9428,324.125,66.5964,305.838
802,169,318.084,58.9428,323.345,66.5964,305.446
802,170,319.028,58.9428,323.345,66.5964,304.661
802,171,319.028,59.3522,322.564,66.5964,304.269
802,172,319.5,59.3522,322.564,66.5964,304.269
802,173,319.972,59.3522,322.174,66.5964,304.661
802,174,319.972,59.3522,321.784,66.5964,305.053
802,175,319.972,59.3522,321.004,66.5964,306.23
802,176,319.5,59.3522,321.004,66.5964,307.014
802,177,318.556,59.3522,321.004,66.5964,307.406
802,178,318.084,59.7615,321.004,66.5964,308.974
802,179,317.14,59.7615,321.004,66.5964,309.759
803,180,317.14,59.7615,321.394,66.5964,310.935
803,181,316.196,59.7615,321.784,66.5964,312.111
803,182,316.196,59.7615,322.564,66.9603,313.68
803,183,315.253,59.7615,323.345,67.3242,314.464
803,184,314.781,59.7615,324.905,67.3242,315.248
803,185,314.307,59.7615,326.465,67.3242,316.032
803,186,314.307,59.7615,327.635,67.3242,316.816
803,187,314.307,59.7615,328.805,67.6882,317.601
803,188,314.307,59.7615,330.365,68.0521,318.385
803,189,315.251,59.7615,331.145,68.0521,318.385
803,190,316.195,59.7615,332.706,68.0521,318.777
803,191,317.139,59.7615,333.486,68.0521,319.561
803,192,318.083,59.7615,334.266,68.0521,319.561
803,193,319.027,59.7615,334.266,68.416,319.169
803,194,319.971,59.7615,335.046,68.7799,319.953
803,195,321.858,59.7615,335.436,68.7799,319.953
803,196,322.802,59.7615,335.826,68.7799,319.953
803,197,323.746,59.7615,336.606,68.7799,319.953
803,198,324.69,59.7615,336.606,68.7799,320.737
803,199,325.634,59.7615,337.386,68.7799,320.737
803,200,325.634,60.1708,337.386,68.7799,320.737
803,201,326.578,60.1708,338.166,68.7799,320.737
803,202,327.521,60.5801,338.166,68.7799,320.737
803,203,328.465,60.5801,338.166,68.7799,320.737
803,204,328.465,60.5801,338.946,68.7799,320.737
803,205,328.465,60.5801,338.946,68.7799,320.737
803,206,328.937,60.5801,338.946,68.7799,320.737
803,207,329.409,60.5801,339.726,68.7799,320.345
803,208,329.409,60.5801,339.336,68.7799,320.737
803,209,330.353,60.5801,339.726,69.1438,320.345
803,210,329.881,60.5801,339.726,68.7799,320.345
803,211,329.881,60.5801,339.726,69.5077,320.737
803,212,330.353,60.5801,339.726,69.1438,320.345
803,213,330.353,60.5801,339.726,69.5077,320.345
803,214,330.353,60.5801,339.726,69.5077,320.737
803,215,329.881,60.5801,339.336,69.5077,320.737
803,216,329.881,60.5801,339.726,69.5077,320.737
803,217,330.353,60.5801,338.942,69.5069,320.737
803,218,330.353,60.5801,339.722,69.143,320.737
803,219,329.881,60.5801,339.332,69.5069,321.522
803,220,330.353,60.5801,339.332,69.5069,321.522
803,221,329.409,60.5792,339.332,69.5069,321.522
803,222,329.409,60.5792,339.722,69.5069,321.522
803,223,329.409,60.5792,339.722,69.5069,321.914
803,224,329.409,60.5792,339.722,69.5069,322.306
803,225,329.881,60.5792,340.502,69.5069,321.914
803,226,329.409,60.5792,340.502,69.5069,322.306
803,227,328.937,60.5792,340.502,69.5069,322.306
803,228,329.409,60.5792,340.892,69.5069,322.698
803,229,329.409,60.5792,341.282,69.5069,322.698
803,230,329.409,60.5792,341.282,69.5069,323.09
803,231,329.409,60.5792,341.672,69.5069,323.09
803,232,329.881,60.5792,342.062,69.5069,323.09
803,233,329.409,60.5792,342.062,69.5069,323.087
803,234,330.353,60.5792,342.452,69.5069,323.087
803,235,330.825,60.5792,342.452,69.5069,323.087
803,236,330.825,60.5792,342.842,69.5069,323.087
803,237,331.297,60.5792,342.842,69.5069,323.087
803,238,331.297,60.5792,342.842,69.5069,323.087
803,239,331.297,60.5792,342.842,69.5069,323.087
804,240,331.297,60.5792,342.842,69.5069,323.479
804,241,331.297,60.5792,342.842,69.5069,323.479
804,242,331.769,60.5792,343.233,69.5069,323.871
804,243,331.297,60.5792,342.842,69.5069,323.871
804,244,331.297,60.9886,343.233,69.5069,323.479
804,245,331.297,60.9886,343.233,69.5069,323.871
804,246,331.769,60.9886,342.842,69.5069,323.871
804,247,331.769,60.9886,342.842,69.5069,323.871
804,248,332.241,60.9886,342.842,69.5069,323.871
804,249,332.241,60.9886,342.842,69.5069,323.871
804,250,332.241,60.9886,342.842,69.5069,324.263
804,251,332.241,60.9886,342.452,69.5069,324.655
804,252,332.241,60.9886,342.062,69.5069,324.655
804,253,332.24,60.9886,342.452,69.5069,324.263
804,254,331.768,60.9886,342.842,69.5069,324.655
804,255,332.24,60.9886,342.842,69.5069,325.439
804,256,332.24,61.3979,342.842,69.5069,325.831
804,257,333.183,61.3979,342.842,69.5069,325.831
804,258,332.712,61.3979,342.842,69.5069,326.223
804,259,332.712,61.3979,342.842,69.5069,327.008
804,260,333.183,61.3979,343.623,69.5069,327.008
804,261,333.183,61.3979,343.623,69.5069,327.792
804,262,333.183,61.3979,343.623,69.5069,327.792
804,263,333.656,61.3979,344.403,69.5069,328.184
804,264,334.127,61.3979,344.403,69.5069,327.792
804,265,334.127,61.3979,344.403,69.8708,327.792
804,266,334.127,61.3979,344.793,70.2347,327.792
804,267,334.599,61.3979,345.183,70.2347,328.968
804,268,334.599,61.3979,345.183,70.2347,328.576
804,269,335.071,61.3979,345.963,70.2347,328.968
804,270,335.543,61.3979,345.963,70.2347,328.968
804,271,336.015,61.3979,346.353,70.2347,329.36
804,272,336.487,61.3979,346.743,70.2347,328.576
804,273,336.959,61.3979,346.743,70.2347,329.36
804,274,336.959,61.3979,346.743,70.2347,329.36
804,275,336.959,61.3979,347.133,70.2347,329.36
804,276,337.903,61.3979,347.523,70.2347,329.36
804,277,337.903,61.8072,347.523,70.2347,329.36
804,278,337.903,61.8072,347.523,70.2347,329.36
804,279,337.903,61.8072,347.523,70.2347,329.752
804,280,338.375,61.8072,347.523,70.2347,329.36
804,281,337.903,61.8072,348.303,70.2347,329.36
804,282,338.847,61.8072,348.303,70.2347,330.144
804,283,338.375,61.8072,348.303,70.2347,329.36
804,284,338.847,61.8072,348.303,70.2347,329.36
804,285,338.847,61.8072,348.689,70.2338,330.144
804,286,338.847,61.8072,349.079,70.2338,330.144
804,287,338.847,61.8072,349.079,70.2338,330.144
804,288,338.847,61.8072,349.079,70.2338,330.144
804,289,338.847,61.8063,349.859,70.2338,330.144
804,290,339.319,62.2156,349.859,70.2338,329.752
804,291,339.791,62.2156,350.639,70.2338,330.144
804,292,339.319,62.2156,350.249,70.2338,330.536
804,293,339.319,62.2156,350.639,70.2338,330.928
804,294,338.847,61.8063,350.249,70.2338,330.536
804,295,338.847,62.2156,350.639,70.2338,330.928
804,296,338.847,62.2156,350.639,70.5977,330.928
804,297,339.319,62.2156,351.419,70.9616,330.928
804,298,339.791,61.8063,351.419,70.9616,330.928
804,299,339.319,62.2156,351.419,70.9616,330.144
805,300,339.791,62.2156,351.419,70.9616,330.928
805,301,339.791,62.2156,351.029,70.9616,331.317
805,302,340.263,61.8063,351.419,70.9616,331.317
805,303,339.791,61.8063,351.419,70.5977,331.317
805,304,339.791,62.2156,351.419,70.9616,330.925
805,305,339.791,62.2156,351.809,70.5977,330.925
805,306,339.791,62.2156,351.419,70.9616,331.317
805,307,339.791,62.2156,351.419,70.9616,331.71
805,308,340.734,62.2156,351.419,70.9616,331.71
805,309,339.791,62.2156,351.419,70.9616,331.71
805,310,340.263,62.2156,351.419,70.9616,331.317
805,311,340.734,62.2156,351.419,70.9616,331.71
805,312,340.734,62.2156,351.419,70.9616,331.317
805,313,340.734,62.2156,351.419,70.9616,331.71
805,314,340.734,62.2156,351.419,70.9616,331.71
805,315,340.734,62.2156,351.419,70.9616,331.71
805,316,340.734,62.2156,351.419,70.9616,331.71
805,317,341.678,62.2156,351.419,70.9616,331.71
805,318,341.678,62.2156,351.419,70.9616,331.71
805,319,341.678,62.2156,351.419,70.9616,331.71
805,320,341.678,62.2156,351.419,70.9616,332.102
805,321,341.677,62.2156,352.199,70.9616,332.102
805,322,341.677,62.2156,352.199,70.9616,332.102
805,323,341.677,62.2156,352.199,70.9616,332.494
805,324,341.677,62.2156,351.419,70.9616,332.494
805,325,341.677,62.2156,352.199,70.9616,332.886
805,326,341.677,62.2156,352.199,70.9616,333.278
805,327,341.677,62.2156,352.979,70.9616,332.494
805,328,341.677,62.2156,352.979,70.9616,332.886
805,329,341.677,62.2156,352.979,70.9616,333.278
805,330,341.677,62.2156,353.759,70.9616,333.278
805,331,341.677,62.2156,352.979,70.9616,332.886
805,332,341.677,62.2156,352.979,70.9616,333.278
805,333,341.677,62.2156,352.979,70.9616,333.278
805,334,341.677,62.2156,352.979,70.9616,334.062
805,335,342.149,62.2156,352.979,70.9616,333.67
805,336,341.677,62.2156,352.979,70.9616,333.67
805,337,342.621,62.2156,353.369,70.9616,333.278
805,338,343.093,62.2156,352.979,70.9616,333.278
805,339,342.621,62.2156,352.979,70.9616,333.278
805,340,343.565,62.2156,353.759,70.9616,334.062
805,341,343.093,62.2156,353.759,70.9616,332.886
805,342,343.565,62.2156,353.759,70.9616,333.278
805,343,343.565,62.2156,353.759,70.9616,333.278
805,344,343.565,62.2156,353.759,70.9616,333.67
805,345,343.565,62.2156,353.759,70.9616,334.062
805,346,343.565,62.2156,353.759,70.9616,334.062
805,347,343.565,62.2156,353.759,70.9616,333.67
805,348,343.565,62.2156,353.759,70.9616,333.278
805,349,343.565,62.2156,353.759,70.9616,334.062
805,350,344.509,62.2156,354.149,70.9616,333.67
805,351,343.565,62.2156,353.759,70.9616,332.886
805,352,344.509,62.2156,353.759,70.9616,333.278
805,353,343.565,62.2156,353.755,70.9607,333.278
805,354,343.565,62.2156,354.535,70.9607,333.67
805,355,343.565,62.2156,354.145,70.9607,333.67
805,356,343.565,62.2156,353.755,70.9607,333.67
805,357,343.565,62.2147,354.145,70.9607,333.67
805,358,343.565,62.2147,354.535,70.9607,333.67
805,359,343.565,62.2147,354.535,70.9607,333.278
806,360,343.565,62.2147,354.145,70.9607,333.67
806,361,343.565,62.2147,354.535,70.9607,333.67
806,362,343.565,62.2147,354.145,70.9607,333.278
806,363,343.565,62.2147,354.535,70.9607,333.67
806,364,343.565,62.2147,354.535,70.9607,333.67
806,365,343.093,62.2147,354.535,70.9607,333.278
806,366,343.093,62.2147,354.535,70.9607,333.67
806,367,343.093,62.2147,354.535,70.9607,334.062
806,368,343.093,62.2147,354.535,70.9607,333.278
806,369,343.093,62.2147,354.535,70.9607,333.275
806,370,342.621,62.2147,354.535,70.9607,333.275
806,371,343.565,62.2147,355.315,70.9607,333.275
806,372,343.565,62.2147,354.535,70.9607,332.883
806,373,343.565,62.2147,354.535,70.9607,333.275
806,374,342.621,62.2147,354.535,70.9607,333.275
806,375,343.565,62.2147,354.145,70.9607,333.667
806,376,344.037,62.2147,354.145,70.9607,333.275
806,377,343.565,62.2147,354.145,70.9607,334.059
806,378,343.565,62.2147,353.755,70.9607,334.451
806,379,344.037,62.2147,353.755,70.9607,334.059
806,380,344.037,62.2147,353.755,70.9607,334.451
806,381,343.565,62.2147,353.755,70.9607,334.843
806,382,343.565,62.2147,352.974,70.9607,335.628
806,383,343.565,62.2147,352.974,70.9607,335.628
806,384,343.565,62.2147,352.974,70.9607,335.628
806,385,343.093,62.2147,352.974,70.9607,335.628
806,386,343.565,62.2147,352.974,70.9607,336.02
806,387,343.093,62.2147,352.974,70.9607,335.628
806,388,344.037,62.2147,352.974,70.9607,336.412
806,389,343.564,62.2147,353.364,70.9607,335.628
806,390,344.508,62.2147,353.755,70.9607,335.628
806,391,344.98,62.2147,353.755,70.9607,336.412
806,392,344.508,62.2147,354.145,70.9607,335.628
806,393,344.98,62.2147,354.145,70.9607,335.628
806,394,345.452,62.2147,354.145,70.9607,335.628
806,395,345.452,62.2147,354.925,70.9607,335.628
806,396,345.452,62.2147,354.925,70.9607,335.236
806,397,345.452,62.2147,354.535,70.9607,335.628
806,398,345.452,62.2147,354.925,70.9607,335.628
806,399,346.396,62.2147,355.315,70.9607,335.628
806,400,346.396,62.2147,355.315,70.9607,335.628
806,401,346.396,62.2147,355.315,70.9607,335.628
806,402,346.396,62.2147,356.095,70.9607,335.628
806,403,345.924,62.2147,356.095,70.9607,335.236
806,404,346.396,62.2147,356.485,70.9607,335.236
806,405,345.924,62.2147,356.095,70.9607,335.236
806,406,345.924,62.2147,356.875,70.9607,335.628
806,407,345.924,62.2147,356.485,70.9607,335.628
806,408,345.924,62.2147,356.095,70.9607,335.628
806,409,345.452,62.2147,356.095,70.9607,335.628
806,410,345.924,62.624,356.095,70.9607,336.02
806,411,345.452,62.2147,356.095,70.9607,336.412
806,412,345.452,62.624,356.095,70.9607,336.412
806,413,345.452,62.624,356.095,70.9607,336.412
806,414,345.452,62.624,356.095,70.9607,336.412
806,415,345.452,62.624,355.315,70.9607,336.412
806,416,345.924,62.624,356.095,70.9607,336.02
806,417,345.452,62.624,355.315,70.9607,336.412
806,418,346.396,62.624,355.315,70.9607,336.412
806,419,346.396,62.624,355.315,70.9607,336.412
807,420,346.396,62.624,355.315,70.9607,336.412
807,421,346.396,62.2147,355.7,70.9599,336.804
807,422,346.396,62.624,355.31,70.9599,337.588
807,423,346.396,62.624,355.31,70.9599,337.588
807,424,346.396,62.624,355.31,70.9599,337.588
807,425,346.396,62.6232,355.31,70.9599,337.588
807,426,347.34,62.6232,355.31,70.9599,337.588
807,427,346.396,62.6232,355.7,70.9599,337.98
807,428,346.396,62.6232,356.09,70.9599,338.764
807,429,347.34,62.6232,355.31,70.9599,339.156
807,430,347.34,62.6232,355.7,70.9599,338.372
807,431,346.868,62.6232,356.09,70.9599,339.156
807,432,347.34,62.6232,356.09,70.9599,339.548
807,433,346.868,62.6232,356.09,70.9599,338.764
807,434,347.34,62.6232,356.09,70.9599,339.548
807,435,347.34,62.6232,356.48,70.9599,338.764
807,436,347.812,62.6232,356.48,70.9599,339.156
807,437,347.812,62.6232,355.31,70.9599,339.546
807,438,347.812,62.6232,355.31,70.9599,338.762
807,439,347.34,62.6232,356.09,71.3238,337.978
807,440,347.812,62.6232,356.09,71.3238,339.546
807,441,348.283,62.6232,355.31,71.3238,338.762
807,442,348.283,62.6232,355.31,71.3238,338.762
807,443,349.227,62.6232,355.31,71.3238,338.762
807,444,348.283,62.6232,355.31,71.3238,339.154
807,445,349.227,62.6232,355.31,71.3238,339.546
807,446,349.227,62.6232,355.7,71.3238,339.546
807,447,349.227,62.6232,357.65,71.3238,339.546
807,448,349.227,62.6232,357.65,71.6877,339.546
807,449,349.227,63.0325,357.65,71.3238,339.546
807,450,349.227,63.0325,357.65,71.3238,339.938
807,451,349.227,63.0325,357.65,71.3238,341.114
807,452,349.227,63.0325,357.65,71.6877,340.33
807,453,349.227,63.0325,356.09,71.6877,339.938
807,454,349.227,63.0325,357.65,71.6877,339.546
807,455,349.227,63.0325,358.431,71.6877,339.938
807,456,349.227,63.0325,358.431,71.6877,340.33
807,457,349.227,63.0325,358.821,71.6877,340.33
807,458,349.227,63.0325,359.211,71.6877,340.33
807,459,349.227,63.0325,359.211,71.6877,340.33
807,460,349.227,63.0325,359.211,71.6877,340.33
807,461,349.227,63.0325,359.211,71.6877,339.546
807,462,350.17,63.0325,359.211,71.6877,339.938
807,463,350.17,63.0325,359.211,71.6877,339.938
807,464,350.17,63.0325,359.211,71.6877,339.546
807,465,350.17,63.0325,359.211,71.6877,339.546
807,466,350.17,63.0325,358.431,71.6877,339.154
807,467,350.642,63.0325,359.211,71.6877,339.546
807,468,350.17,63.0325,358.431,71.3238,339.154
807,469,350.642,63.0325,358.431,71.6877,338.762
807,470,350.642,63.0325,357.65,71.3238,338.762
807,471,350.17,63.0325,357.65,70.9599,338.762
807,472,351.114,63.0325,356.87,70.9599,338.37
807,473,351.114,63.0325,357.261,70.9599,337.586
807,474,351.114,63.0325,356.87,70.9599,337.978
807,475,351.114,63.0325,356.87,70.9599,338.37
807,476,351.114,63.0325,356.87,70.9599,338.762
807,477,350.17,63.0325,356.87,70.9599,337.586
807,478,350.17,63.0325,356.87,70.9599,337.978
807,479,350.17,63.0325,356.87,70.9599,338.762
808,480,349.699,63.0325,356.87,70.9599,338.37
808,481,350.17,63.0325,356.87,70.9599,339.154
808,482,349.227,63.0325,356.87,70.9599,338.762
808,483,349.227,63.0325,357.261,70.9599,339.154
808,484,349.227,63.0325,357.65,70.9599,339.546
808,485,348.755,63.0325,357.65,70.9599,339.546
808,486,349.227,63.0325,357.65,71.3238,339.546
808,487,348.283,63.0325,358.431,70.9599,339.546
808,488,347.811,63.0325,358.431,70.9599,339.546
808,489,347.811,62.6232,358.036,71.323,339.546
808,490,348.755,62.6232,359.206,71.323,339.938
808,491,347.811,62.6232,358.816,71.6868,339.546
808,492,348.283,62.6232,358.427,71.323,339.546
808,493,348.283,62.6224,358.427,71.323,339.546
808,494,348.283,62.6224,358.427,71.323,339.546
808,495,348.755,62.6224,358.427,71.323,339.154
808,496,349.227,62.6224,358.427,71.323,338.762
808,497,348.755,62.6224,358.427,71.323,339.546
808,498,349.227,62.6224,358.427,70.9591,338.762
808,499,349.227,62.6224,358.427,70.9591,339.546
808,500,349.699,62.6224,357.646,70.9591,339.546
808,501,349.227,62.6224,357.646,70.9591,339.938
808,502,350.17,62.6224,357.646,70.9591,340.722
808,503,349.699,62.6224,357.646,70.9591,340.33
808,504,349.227,62.6224,357.646,70.9591,341.114
808,505,349.227,62.6224,357.646,70.9591,341.11
808,506,349.227,63.0317,357.256,70.9591,341.11
808,507,348.755,63.0317,357.646,70.9591,341.502
