"Time","Inverter 1 Active Power","Inverter 1 Reactive Power","Inverter 1 RMS Voltage"
0,0,0,0
4.1769207024246782e-21,0,0,3.8723119133539449e-32
2.5493202775228565e-20,0,0,2.9042339350154585e-31
2.8335373718269083e-20,0,0,3.097849530683156e-31
2.991182602963843e-20,0,0,3.8723119133539449e-31
3.3064730652377125e-20,0,0,4.259543104689339e-31
3.6225637985369498e-20,0,0,4.6467742960247339e-31
4.4128420437740478e-20,0,0,5.808467870030917e-31
4.728953341868887e-20,0,0,6.1956990613663119e-31
1.1122196185428108e-07,0,0,1.9667383167258081e-16
2.2244394878412662e-07,0,0,1.6118373626939253e-15
6.2488261262103245e-07,0,0,3.8552037207648805e-14
1.0501671458069321e-06,0,0,1.9519692162226096e-13
1.631136964307949e-06,0,0,7.8452624818192037e-13
2.3415394160532112e-06,0,0,2.4799541376056947e-12
2.3415394160532798e-06,0,0,2.4799541376059265e-12
3.5314731663965277e-06,0,0,9.2327342383216153e-12
5.0484432242769314e-06,0,0,2.9063922988190123e-11
7.4603663060266876e-06,0,0,1.0227071860487639e-10
1.1153180667448302e-05,0,0,3.788343768695985e-10
1.8470892577038933e-05,0,0,2.062927078982162e-09
2.9916840208460657e-05,0,0,1.169174926667253e-08
4.2211801998041064e-05,0,0,4.5017947916417134e-08
5.4851840230630007e-05,0,0,1.3502419125885503e-07
7.0136953707250835e-05,0,0,3.9984672967916983e-07
8.6223381262663372e-05,0,0,1.0303767784121056e-06
9.9999999999998446e-05,0,0,2.0633502593655389e-06
0.00010000000000000156,0,0,2.0633502593658425e-06
0.00010219558363751548,0.004861595040305978,1.433675950649371e-06,0.0026722483510434442
0.00010263470036501827,0.0069999471954037768,2.4296190767626822e-06,0.0032062917380047198
0.00010614763418504055,0.038065649071313018,3.0116264586611797e-05,0.0074787155194984654
0.00010987467095083195,0.098025048880743287,0.00012337512761905311,0.012011679915393222
0.00011348036856234886,0.18223155100713764,0.00031135137770127224,0.016397212977595572
0.00011777551637481177,0.31567273186013783,0.00070738053090100314,0.021621496948120586
0.00012286748394403475,0.51952429387738475,0.0014886171275140883,0.027815234381773652
0.00012286748394403822,0.51952429387754018,0.0014886171275147531,0.027815234381777871
0.00012954040733829128,0.85904057958483526,0.0031525097818802732,0.035932438794728919
0.00013767651101394203,1.3778762730304603,0.0063702616223225697,0.04583017763309763
0.00014494567503740822,1.9311684059569607,0.010511630646905542,0.054673884179001833
0.00015225650562293889,2.5641926284425089,0.015976695965612995,0.063568870398333047
0.00015999240157211339,3.3068644785445227,0.023201109999560435,0.072981669600512472
0.00016062502957738683,3.3705404387272124,0.023855991272151791,0.073751461001540716
0.00016062502957739166,3.3705404387277,0.023855991272156821,0.073751461001546587
0.0001700007189427462,4.358493957235213,0.034628598630869804,0.08516045999860529
0.00017943045882913366,5.4185379342829378,0.047217054923282931,0.096636208787168984
0.00018725746426119573,6.3304085515202981,0.058621475675190195,0.10616221552629082
0.0001872574642612011,6.3304085515209305,0.058621475675198216,0.10616221552629737
0.00019972770640504968,7.8034917650014597,0.077471131741932639,0.12134075653356646
0.00021439765942996133,9.4958207670687553,0.098084900316379911,0.13919893596393454
0.00023363592645305936,11.502206966990816,0.11573093606862528,0.1626218530182694
0.00024823789043499375,12.765110269029718,0.11613821118041615,0.18040271054219709
0.00025972603308630979,13.558525070014793,0.10535461926427381,0.19439350606339698
0.00027912929753066615,14.448499690524393,0.059599535783783499,0.21802700002244188
0.00030059304610117815,14.758529878589812,-0.036690896158738065,0.24417501567585984
0.00032498793422021356,14.347483856195279,-0.20394019346730682,0.27390000641796419
0.0003503827825073573,13.327527369609319,-0.42788635065910158,0.30485037706371865
0.00038243348252315154,11.811587132664757,-0.73108930656130722,0.34392276294284002
0.00041960979473231743,10.80039974725128,-1.0000807091618815,0.38925777521599086
0.00045212233324172448,11.319505207876219,-1.0649114222806417,0.42891789730662905
0.00048761659442187572,13.625280173667711,-0.90260984913207942,0.47222843591583485
0.00052950910099277496,18.078419700508913,-0.45656549295022081,0.52336388719735494
0.00056183070141627124,21.882726265800468,-0.054591315393035862,0.56282983458995473
0.00059687984281889706,25.389506653191535,0.27086002572358842,0.60563907557257912
0.00063558118078285448,27.75320304203003,0.34244346468173376,0.65292465828784163
0.00067300887678138014,28.455407843381629,0.088265791900644971,0.69866957713064826
0.00071234386330084145,28.246706384433921,-0.38446385277368128,0.74676201259770048
0.00074852509295689012,28.233916220242033,-0.77451317039730827,0.79101335610614898
0.00078859385186222613,29.451090354480232,-0.89625641220997632,0.84003587097199861
0.00082402185691986274,31.943432660781632,-0.62811239711053968,0.88339507342424028
0.00086080170057814824,35.636663955196966,-0.040995911481843846,0.92842309190117711
0.00090078875455011924,40.069343627069635,0.7180707907869438,0.97739412301763928
0.00094321702280554878,44.151757903586308,1.3269036720587459,1.0293736808600558
0.00098336123987370475,46.82308686815071,1.5102526076971574,1.0785728466806856
0.0010277196306028799,48.563945192525352,1.2946347672886507,1.1329568788478459
0.0010715889255078479,49.86415766142359,0.9308152741644139,1.1867620414162539
0.001111348960785041,51.523844112849112,0.78738905726944719,1.235545064330223
0.0011552753676830703,54.458995516785343,1.0715397663087833,1.2894596302201513
0.0011987260405931172,58.447223670987384,1.8066768085853058,1.3428105760708586
0.0012451709535074766,63.219184261602443,2.8131049300112254,1.3998602808847518
0.0012907966394471644,67.554610241240212,3.6366669862957668,1.4559260863124723
0.0013373072080621975,71.098013917734107,4.0530302829643823,1.5131020519555745
0.001385662894849902,73.984001003878575,4.0844049633652784,1.5725706087394415
