"time (s)","Vm2:Measured voltage","Am1:Measured current","Vm1:Measured voltage"
0,17.818654885889334,0.017110980225043024,14.256148803035376
2.8421709430404006e-21,17.818654885889334,0.017110980225043145,14.256148803035352
5.6843418860808825e-21,17.818654885889334,0.017110980225043267,14.256148803035327
2.1448864988160826e-20,17.818654885889334,0.01711098022504394,14.256148803035186
2.4601769608576813e-20,17.818654885889334,0.017110980225044075,14.256148803035158
2.7762676422294469e-20,17.818654885889334,0.017110980225044207,14.256148803035131
2.9343233179722802e-20,17.818654885889334,0.017110980225044276,14.256148803035117
3.2591304715675285e-20,17.818654885889334,0.017110980225044415,14.256148803035089
3.7332982155743927e-20,17.818654885889334,0.017110980225044616,14.256148803035046
4.0494100449123022e-20,17.818654885889334,0.017110980225044752,14.256148803035018
4.3655219412331187e-20,17.818654885889334,0.017110980225044887,14.256148803034991
4.6816338375539351e-20,17.818654885889334,0.017110980225045022,14.256148803034963
5.4719134464372291e-20,17.818654885889334,0.017110980225045355,14.256148803034892
5.7880252899905478e-20,17.818654885889334,0.017110980225045491,14.256148803034865
6.1041371869648901e-20,17.818654885889334,0.017110980225045626,14.256148803034836
6.4202490839392324e-20,17.818654885889334,0.017110980225045761,14.256148803034808
7.0524728811244326e-20,17.818654885889334,0.017110980225046032,14.256148803034753
7.3685847797170327e-20,17.818654885889334,0.017110980225046167,14.256148803034725
7.6846966783201243e-20,17.818654885889334,0.017110980225046299,14.256148803034696
8.0008085769232159e-20,17.818654885889334,0.017110980225046434,14.256148803034669
1.1122196736673549e-07,17.823095616948734,0.02140333439185782,13.370735685435838
2.2244393419321796e-07,17.827032194459324,0.025213776016889396,12.585948550596932
6.248825884260115e-07,17.837868898537621,0.035769854009274897,10.421026847569081
1.0501671145348861e-06,17.845100500951155,0.042968731489264562,8.9592507438826345
1.6311368587640371e-06,17.850663836305603,0.048827555822917645,7.7922817080202229
2.3415392274934954e-06,17.85370418367971,0.052595618357441018,7.0742518697802357
2.341539227493564e-06,17.85370418367971,0.052595618357441282,7.0742518697801886
3.5314735905726367e-06,17.854767282362619,0.055364727156861873,6.6110430427764779
5.0484443037512557e-06,17.853798177263798,0.056910002319785304,6.4351499062303468
7.4604319867733821e-06,17.851339240517007,0.058582849103027169,6.3203673118055246
1.1399628284034677e-05,17.84728701741561,0.061173827917012882,6.1660900823080773
1.8431233280390116e-05,17.840393833678402,0.065745921483688075,5.9127416009644751
3.0683503405890423e-05,17.829010547995832,0.07348350739611971,5.5473523469606132
4.2986307866413947e-05,17.8179532375812,0.080984007922260653,5.2641189223800247
5.574320851059472e-05,17.806434166684685,0.088496587153397505,5.0456026284442022
7.1108854923957132e-05,17.792029503929697,0.09722679697286335,4.8647792799020024
8.746852306393461e-05,17.775561384860062,0.10616582214105016,4.7535876975239333
9.9999999999998433e-05,17.761932449576477,0.11278670715927304,4.7138016698402634
0.00010000000000000158,17.76193244957647,0.11278670715927465,4.7138016698402545
0.00010219565589385429,17.759452377856192,0.11392935020388784,4.7099540319111899
0.00010263478707262483,17.758958991974946,0.1141583958260208,4.7090610666373394
0.00010614783650278913,17.755162447230187,0.11601836226636551,4.6961689761352972
0.00010987490376381711,17.7517374419768,0.11809838117561558,4.6609674801575132
0.00011348055887876921,17.749462157085222,0.12028781898915041,4.5920483858641497
0.00011777579436114086,17.748726913280542,0.12322093181040071,4.4473738840004398
0.00012286748985926852,17.751682232909136,0.12730380156382332,4.1618145681964531
0.00012286748985927199,17.751682232909136,0.12730380156382645,4.1618145681961973
0.00012954058334135865,17.764006097743984,0.13393518538139884,3.5530430689307888
0.00013767667552139074,17.796111908782208,0.14448318104454902,2.3749079792316721
0.00014494583026829864,17.844763026051627,0.15664776698463753,0.85571211574574946
0.00015225666434912644,17.916394286790847,0.17185852352775283,-1.1579765401716813
0.00015999257501129454,18.020424436288742,0.19150704089601378,-3.8429916681705336
0.00016062502843484214,18.030306270569863,0.19328216264414044,-4.0879351257320771
0.00016062502843484697,18.030306270570009,0.19328216264415476,-4.0879351257340328
0.00017000073173765955,18.202728650546536,0.2226887765095297,-8.1654536486125835
0.00017943047082630219,18.427138555549387,0.25817809453749202,-13.07527813202136
0.00018725745950566602,18.653168809301054,0.29209379189660989,-17.709422342242473
0.00018725745950567239,18.653168809301238,0.29209379189663859,-17.709422342246352
0.00019972766157184263,19.085965160098741,0.35403244415421842,-25.962688969080915
0.00021498282097048583,19.72456111618013,0.44138579134243405,-37.058097098676036
0.00023433372815650179,20.661672693172768,0.56568234301293885,-51.60865383540424
0.00024905665552906972,21.420514543321879,0.66576724626889416,-62.141786648101807
0.00026063329633481668,22.013269359326941,0.74510781988183905,-69.640442355648872
0.00028023853612997845,22.945970423186004,0.87576126805756871,-80.05918713482815
0.00030190430261755973,23.785511623697197,1.0082247067905026,-87.572444009645608
0.00032667763415576478,24.422715675247819,1.1388815288767433,-91.009309167811011
0.00035179665621028579,24.734862842781766,1.2496732674038691,-90.171205870523949
0.00038470242539426994,24.86032498729724,1.375407075047175,-86.290465524132884
0.00042199936149802731,25.119679051266495,1.520972709019758,-83.912867201692535
0.00045405051872532756,25.777286528506036,1.6684464125773721,-86.294964998085646
0.00048988336521534818,26.974473836571899,1.8597339113445266,-92.690384907610877
0.00053154046691282313,28.442371638515308,2.0937896249410737,-99.926399177073066
0.00056354502322365785,29.190784628429949,2.2617714539227185,-102.1933234677996
0.0005987534465068888,29.516387700972494,2.4268036020406059,-101.15632135176472
0.00063726948715373715,29.653869105320737,2.5955923135238179,-98.871661461924589
